id,katakana,english
1,"アーカイバ","archiver"
2,"アーカイブ","archive"
3,"アーカイブファイル","archive file"
4,"アーキテクチャ","architecture"
5,"アーケードゲーム","arcade game"
6,"アイデア","idea"
7,"アイディア","idea"
8,"アイデンティティ","identity"
9,"アイドル","idol"
10,"アウトプット","output"
11,"アウトライン","outline"
12,"アクションゲーム","action game"
13,"アクセサ","accessor"
14,"アクセス","access"
15,"アクセスキー","access key"
16,"アクセスコントロール","access control"
17,"アクチュエータ","actuator"
18,"アクティブ","active"
19,"アクティブウィンドウ","active window"
20,"アクティブスクリプト","active script"
21,"アクティベート","activate"
22,"アサイン","assign"
23,"アジャイル","agile"
24,"アスキー","ascii"
25,"アスタリスク","asterisk"
26,"アスペクト","aspect"
27,"アセンブラ","assembler"
28,"アセンブリ","assembly"
29,"アセンブル","assemble"
30,"アソシエーション","association"
31,"アタッチ","attach"
32,"アダプタ","adapter"
33,"アップグレード","upgrade"
34,"アップデート","an update"
35,"アップリンク","uplink"
36,"アップローダ","uploader"
37,"アップロード","upload"
38,"アド","ad"
39,"アドイン","add-in"
40,"アドウェア","adware"
41,"アドバンテージ","advantage"
42,"アドホック","ad hoc"
43,"アドミニストレータ","administrator"
44,"アトリビュート","attribute"
45,"アドレス","address"
46,"アナログ","analog"
47,"アニメーション","animation"
48,"アフィリエイトサービス","affiliate services"
49,"アプリケーション","application"
50,"アプリケーションキー","application key"
51,"アプリケーションサーバ","application server"
52,"アプリケーションサーバー","application server"
53,"アプリケーションシステム","application system"
54,"アプリケーションソフト","application software"
55,"アプリケーションソフトウェア","applications software"
56,"アプリケーションフレームワーク","application framework"
57,"アプリケーションプログラム","application program"
58,"アプレット","applet"
59,"アプローチ","approach"
60,"アベイラビリティ","availability"
61,"アルゴリズム","algorithm"
62,"アルファベット","alphabet"
63,"アルファ","alpha"
64,"アレイ","array"
65,"アンインストール","uninstall"
66,"アンダーフロー","underflow"
67,"アンダーライン","underline"
68,"アンチウィルス","anti-virus"
69,"アンチウィルスソフト","anti-virus software"
70,"アンチウイルスソフト","antivirus software"
71,"アンテナ","antenna"
72,"アンマウント","unmount"
73,"イーサネット","ethernet"
74,"イグジット","exit"
75,"イジェクト","eject"
76,"イニシエータ","initiator"
77,"イノベーション","innovation"
78,"イベントハンドラ","event handler"
79,"イベントログ","event log"
80,"イベント","event"
81,"イメージデータ","image data"
82,"インクジェットプリンタ","ink-jet printer"
83,"インクリメンタルサーチ","incremental search"
84,"インジケータ","indicator"
85,"インシデント","incident"
86,"インスタンス","instance"
87,"インストーラ","installer"
88,"インストーラー","installer"
89,"インストール","installation"
90,"インストラクション","instruction"
91,"インスペクタ","inspector"
92,"インターネット","internet"
93,"インターネットアクセス","internet access"
94,"インターネットエクスプローラ","internet explorer"
95,"インターネットカフェ","internet cafe"
96,"インターネットサービス","internet service"
97,"インターネットサービスプロバイダ","internet service providers"
98,"インターネットサイト","internet site"
99,"インターネットバンキング","internet banking"
100,"インターネットビジネス","internet business"
101,"インターネットプロトコル","internet protocol"
102,"インターフェイス","interface"
103,"インターフェース","interface"
104,"インタープリタ","interpreter"
105,"インタープリター","interpreter"
106,"インターレース","interlaced"
107,"インタフェイス","interface"
108,"インタフェース","an interface"
109,"インタラクティブ","interactive"
110,"インテグレーション","integration"
111,"インデックス","index"
112,"インテリジェンス","intelligence"
113,"インテリジェント","intelligent"
114,"インデント","indent"
115,"イントラネット","intranet"
116,"インバウンド","inbound"
117,"インフォメーション","information"
118,"インプット","input"
119,"インフラ","infrastructure"
120,"インフラストラクチャー","infrastructure"
121,"インプレッション","impression"
122,"インライン","inline"
123,"ウイルス","virus"
124,"ウイルスチェック","virus check"
125,"ウイルス、ソフト","virus, software"
126,"ウィンドウ","window"
127,"ウインドウ","window"
128,"ウィンドウサイズ","window size"
129,"ウィンドウズ","windows"
130,"ウィンドウマネージャ","window manager"
131,"ウエブ","web"
132,"ウェブアプリケーション","web application"
133,"ウェブサーバ","web server"
134,"ウェブサーバー","web server"
135,"ウェブサイト","website"
136,"ウエブサイト","web site"
137,"ウェブブラウザ","web browser"
138,"ウェブブラウザー","web browser"
139,"ウェブページ","web page"
140,"ウェブマスター","webmaster"
141,"ウォークスルー","walk-through"
142,"エアバッグ","air-bag"
143,"エージェント","agent"
144,"エキスパート","expert"
145,"エスカレーション","escalation"
146,"エスケープ","escape"
147,"エスケープキー","escape key"
148,"エスケープシーケンス","escape sequence"
149,"エッジ","edge"
150,"エディション","edition"
151,"エディタ","editor"
152,"エディター","editor"
153,"エフェクト","effect"
154,"エミュレーション","emulation"
155,"エミュレータ","emulator"
156,"エミュレーター","emulator"
157,"エミュレート","emulate"
158,"エラー","error"
159,"エラーコード","error code"
160,"エラーチェック","error checking"
161,"エラーハンドリング","error handling"
162,"エラーメッセージ","error message"
163,"エラーログ","error log"
164,"エリア","area"
165,"エレクトロニクス","electronics"
166,"エレメント","element"
167,"エンコーダ","encoder"
168,"エンコーダー","encoder"
169,"エンジニア","engineer"
170,"エンジニアリング","engineering"
171,"エンジン","engine"
172,"エンター","enter"
173,"エンターキー","enter key"
